TimePeriod,GeoTypeDesc,GeoID,GeoRank,BoroID,Borough,Geography,Area,Number,Percent
2019,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"47,000","32.3 (23.2, 43.0)"
2019,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"50,000","25.3 (17.9, 34.4)"
2019,UHF 34,302,3,3,Manhattan,Central Harlem - Morningside Heights,Central Harlem - Morningside Heights  Manhattan,"45,000*","36.9* (25.4, 50.0)"
2019,UHF 34,303,3,3,Manhattan,East Harlem,East Harlem  Manhattan,"27,000*","34.1* (22.7, 47.6)"
2019,UHF 34,304,3,3,Manhattan,Upper West Side,Upper West Side  Manhattan,"31,000","17.0 (9.7, 27.9)"
2019,UHF 34,305307,3,3,Manhattan,Upper East Side-Gramercy,Upper East Side-Gramercy  Manhattan,"29,000","9.3 (6.1, 13.7)"
2019,UHF 34,306308,3,3,Manhattan,Chelsea-Village,Chelsea-Village    Manhattan,"24,000","11.9 (6.7, 20.3)"
2019,UHF 34,309310,3,3,Manhattan,Union Square-Lower Manhattan,Union Square-Lower Manhattan  Manhattan,"21,000","10.2 (6.9, 14.9)"
2019,UHF 34,401,3,4,Queens,Long Island City - Astoria,Long Island City - Astoria  Queens,"32,000","18.4 (12.1, 26.8)"
2019,UHF 34,402,3,4,Queens,West Queens,West Queens  Queens,"79,000","22.2 (16.3, 29.5)"
2019,UHF 34,403,3,4,Queens,Flushing - Clearview,Flushing - Clearview  Queens,"18,000*","8.9* (3.7, 20.2)"
2019,UHF 34,405,3,4,Queens,Ridgewood - Forest Hills,Ridgewood - Forest Hills  Queens,"54,000","27.0 (20.2, 34.9)"
2019,UHF 34,407,3,4,Queens,Southwest Queens,Southwest Queens  Queens,"57,000","27.7 (20.7, 36.0)"
2019,UHF 34,408,3,4,Queens,Jamaica,Jamaica  Queens,"56,000","26.8 (19.2, 36.0)"
2019,UHF 34,409,3,4,Queens,Southeast Queens,Southeast Queens  Queens,"50,000*","33.1* (23.3, 44.6)"
2019,UHF 34,410,3,4,Queens,Rockaways,Rockaways  Queens,"24,000*","31.2* (19.5, 46.0)"
2019,UHF 34,404406,3,4,Queens,Bayside Little Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows  Queens,"27,000","19.2 (12.2, 28.7)"
2019,UHF 34,501502,3,5,Staten Island,Northern SI,Northern SI  Staten Island,"37,000","25.8 (17.4, 36.4)"
2019,UHF 34,503504,3,5,Staten Island,Southern SI,Southern SI  Staten Island,"68,000","32.1 (24.3, 41.1)"
2018,Borough,1,1,1,Bronx,Bronx,Bronx,"336,000","31.8 (28.7, 34.9)"
2018,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"527,000","26.9 (24.6, 29.4)"
2018,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"242,000","18.3 (15.9, 21.0)"
2018,Borough,4,1,4,Queens,Queens,Queens,"447,000","24.5 (22.0, 27.2)"
2018,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"130,000","35.9 (29.3, 43.0)"
2018,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"17,000","23.1 (15.8, 32.6)"
2018,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"53,000","35.1 (26.7, 44.6)"
2018,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"58,000","31.9 (24.3, 40.5)"
2018,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"80,000","34.0 (27.6, 40.9)"
2018,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"126,000","31.1 (26.5, 36.1)"
2018,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"29,000*","28.4* (18.0, 41.8)"
2018,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"32,000","18.3 (12.7, 25.7)"
2018,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"77,000","31.4 (24.9, 38.8)"
2018,UHF 34,204,3,2,Brooklyn,East New York,East New York  Brooklyn,"31,000*","22.4* (13.7, 34.4)"
2018,UHF 34,205,3,2,Brooklyn,Sunset Park,Sunset Park  Brooklyn,"20,000","20.5 (13.6, 29.7)"
2018,UHF 34,206,3,2,Brooklyn,Borough Park,Borough Park  Brooklyn,"49,000","20.9 (15.6, 27.4)"
2018,UHF 34,207,3,2,Brooklyn,East Flatbush - Flatbush,East Flatbush - Flatbush  Brooklyn,"77,000","32.5 (25.2, 40.8)"
2018,UHF 34,208,3,2,Brooklyn,Canarsie - Flatlands,Canarsie - Flatlands  Brooklyn,"47,000","30.1 (21.5, 40.5)"
2018,UHF 34,209,3,2,Brooklyn,Bensonhurst - Bay Ridge,Bensonhurst - Bay Ridge  Brooklyn,"47,000","28.6 (22.2, 36.1)"
2018,UHF 34,210,3,2,Brooklyn,Coney Island - Sheepshead Bay,Coney Island - Sheepshead Bay  Brooklyn,"67,000","28.4 (22.1, 35.8)"
2018,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"46,000","29.3 (21.1, 39.2)"
2018,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"60,000","29.2 (22.1, 37.4)"
2018,UHF 34,302,3,3,Manhattan,Central Harlem - Morningside Heights,Central Harlem - Morningside Heights  Manhattan,"46,000","36.6 (28.8, 45.2)"
2018,UHF 34,303,3,3,Manhattan,East Harlem,East Harlem  Manhattan,"22,000*","26.9* (17.3, 39.2)"
2018,UHF 34,304,3,3,Manhattan,Upper West Side,Upper West Side  Manhattan,"31,000","17.0 (10.3, 26.8)"
2018,UHF 34,305307,3,3,Manhattan,Upper East Side-Gramercy,Upper East Side-Gramercy  Manhattan,"27,000","8.8 (5.8, 12.9)"
2018,UHF 34,306308,3,3,Manhattan,Chelsea-Village,Chelsea-Village    Manhattan,"26,000","12.9 (7.6, 21.0)"
2018,UHF 34,309310,3,3,Manhattan,Union Square-Lower Manhattan,Union Square-Lower Manhattan  Manhattan,"30,000","14.3 (9.4, 21.0)"
2018,UHF 34,401,3,4,Queens,Long Island City - Astoria,Long Island City - Astoria  Queens,"37,000","20.8 (13.4, 30.8)"
2018,UHF 34,402,3,4,Queens,West Queens,West Queens  Queens,"94,000","25.5 (20.1, 31.7)"
2018,UHF 34,403,3,4,Queens,Flushing - Clearview,Flushing - Clearview  Queens,"38,000","18.2 (11.0, 28.6)"
2018,UHF 34,405,3,4,Queens,Ridgewood - Forest Hills,Ridgewood - Forest Hills  Queens,"48,000","23.0 (17.2, 30.1)"
2018,UHF 34,407,3,4,Queens,Southwest Queens,Southwest Queens  Queens,"54,000","25.4 (19.2, 32.8)"
2018,UHF 34,408,3,4,Queens,Jamaica,Jamaica  Queens,"59,000","26.9 (19.3, 36.1)"
2018,UHF 34,409,3,4,Queens,Southeast Queens,Southeast Queens  Queens,"51,000","32.8 (23.9, 43.2)"
2018,UHF 34,410,3,4,Queens,Rockaways,Rockaways  Queens,"30,000*","36.4* (26.7, 47.4)"
2018,UHF 34,404406,3,4,Queens,Bayside Little Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows  Queens,"33,000","22.2 (15.2, 31.2)"
2018,UHF 34,501502,3,5,Staten Island,Northern SI,Northern SI  Staten Island,"55,000*","38.8* (27.7, 51.1)"
2018,UHF 34,503504,3,5,Staten Island,Southern SI,Southern SI  Staten Island,"75,000","35.7 (27.7, 44.6)"
2017,Borough,1,1,1,Bronx,Bronx,Bronx,"357,000","34.4 (31.3, 37.6)"
2017,Borough,2,1,2,Brooklyn,Brooklyn,Brooklyn,"514,000","26.4 (24.4, 28.6)"
2017,Borough,3,1,3,Manhattan,Manhattan,Manhattan,"226,000","17.3 (14.8, 20.0)"
2017,Borough,4,1,4,Queens,Queens,Queens,"426,000","23.9 (21.6, 26.3)"
2017,Borough,5,1,5,Staten Island,Staten Island,Staten Island,"94,000","26.0 (20.9, 31.8)"
2017,UHF 34,101,3,1,Bronx,Kingsbridge - Riverdale,Kingsbridge - Riverdale  Bronx,"17,000*","23.7* (14.8, 35.8)"
2017,UHF 34,102,3,1,Bronx,Northeast Bronx,Northeast Bronx  Bronx,"41,000","27.9 (21.2, 35.8)"
2017,UHF 34,103,3,1,Bronx,Fordham - Bronx Pk,Fordham - Bronx Pk  Bronx,"69,000","36.5 (29.6, 44.0)"
2017,UHF 34,104,3,1,Bronx,Pelham - Throgs Neck,Pelham - Throgs Neck  Bronx,"74,000","32.0 (25.4, 39.5)"
2017,UHF 34,105106107,3,1,Bronx,South Bronx,South Bronx  Bronx,"153,000","39.1 (34.1, 44.4)"
2017,UHF 34,201,3,2,Brooklyn,Greenpoint,Greenpoint  Brooklyn,"22,000","21.1 (13.1, 32.1)"
2017,UHF 34,202,3,2,Brooklyn,Downtown - Heights - Slope,Downtown - Heights - Slope  Brooklyn,"39,000","21.8 (15.3, 30.0)"
2017,UHF 34,203,3,2,Brooklyn,Bedford Stuyvesant - Crown Heights,Bedford Stuyvesant - Crown Heights  Brooklyn,"88,000","36.1 (30.3, 42.5)"
2017,UHF 34,204,3,2,Brooklyn,East New York,East New York  Brooklyn,"42,000","31.7 (24.4, 40.0)"
2017,UHF 34,205,3,2,Brooklyn,Sunset Park,Sunset Park  Brooklyn,"22,000","22.5 (15.0, 32.2)"
2017,UHF 34,206,3,2,Brooklyn,Borough Park,Borough Park  Brooklyn,"47,000","19.7 (15.2, 25.2)"
2017,UHF 34,207,3,2,Brooklyn,East Flatbush - Flatbush,East Flatbush - Flatbush  Brooklyn,"79,000","33.9 (27.6, 40.8)"
2017,UHF 34,208,3,2,Brooklyn,Canarsie - Flatlands,Canarsie - Flatlands  Brooklyn,"36,000","23.5 (17.1, 31.2)"
2017,UHF 34,209,3,2,Brooklyn,Bensonhurst - Bay Ridge,Bensonhurst - Bay Ridge  Brooklyn,"32,000","19.5 (13.7, 27.1)"
2017,UHF 34,210,3,2,Brooklyn,Coney Island - Sheepshead Bay,Coney Island - Sheepshead Bay  Brooklyn,"62,000","26.4 (20.8, 32.8)"
2017,UHF 34,211,3,2,Brooklyn,Williamsburg - Bushwick,Williamsburg - Bushwick  Brooklyn,"44,000","27.5 (20.9, 35.4)"
2017,UHF 34,301,3,3,Manhattan,Washington Heights,Washington Heights  Manhattan,"57,000","29.0 (21.9, 37.2)"
2017,UHF 34,302,3,3,Manhattan,Central Harlem - Morningside Heights,Central Harlem - Morningside Heights  Manhattan,"30,000","24.8 (17.2, 34.3)"
2017,UHF 34,303,3,3,Manhattan,East Harlem,East Harlem  Manhattan,"23,000*","28.6* (17.6, 43.0)"
2017,UHF 34,304,3,3,Manhattan,Upper West Side,Upper West Side  Manhattan,"25,000","13.4 (8.4, 20.6)"
2017,UHF 34,305307,3,3,Manhattan,Upper East Side-Gramercy,Upper East Side-Gramercy  Manhattan,"40,000","12.9 (8.1, 19.8)"
2017,UHF 34,306308,3,3,Manhattan,Chelsea-Village,Chelsea-Village    Manhattan,"18,000","9.0 (6.0, 13.3)"
2017,UHF 34,309310,3,3,Manhattan,Union Square-Lower Manhattan,Union Square-Lower Manhattan  Manhattan,"32,000","15.2 (10.4, 21.6)"
2017,UHF 34,401,3,4,Queens,Long Island City - Astoria,Long Island City - Astoria  Queens,"41,000","24.0 (17.1, 32.5)"
2017,UHF 34,402,3,4,Queens,West Queens,West Queens  Queens,"74,000","19.7 (15.7, 24.4)"
2017,UHF 34,403,3,4,Queens,Flushing - Clearview,Flushing - Clearview  Queens,"38,000","17.9 (11.6, 26.7)"
2017,UHF 34,405,3,4,Queens,Ridgewood - Forest Hills,Ridgewood - Forest Hills  Queens,"46,000","22.7 (16.6, 30.2)"
2017,UHF 34,407,3,4,Queens,Southwest Queens,Southwest Queens  Queens,"64,000","30.6 (24.4, 37.5)"
2017,UHF 34,408,3,4,Queens,Jamaica,Jamaica  Queens,"75,000","33.5 (25.9, 42.1)"
